top - 15:51:12 up  4:42,  1 user,  load average: 0.75, 1.11, 0.81
Tasks: 263 total,   2 running, 261 sleeping,   0 stopped,   0 zombie
%Cpu(s): 10.3 us,  0.5 sy,  0.0 ni, 88.7 id,  0.0 wa,  0.0 hi,  0.5 si,  0.0 st
MiB Mem :  15841.9 total,  12117.1 free,   1580.9 used,   2144.0 buff/cache
MiB Swap:   5120.0 total,   5120.0 free,      0.0 used.  13191.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    149 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    150 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
    151 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_3
    152 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_3
    153 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_4
    154 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_4
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    162 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    169 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap1
    174 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap1
    175 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    176 root       0 -20       0      0      0 I   0.0   0.0   0:00.28 kworker/u25:0-rb_allocator
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/11:1H-kblockd
    238 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:1H-kblockd
    263 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/10:1H-kblockd
    264 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/7:1H-kblockd
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/9:1H-kblockd
    266 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:1H-kblockd
    275 root      20   0       0      0      0 S   0.0   0.0   0:00.14 jbd2/nvme0n1p3-8
    276 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    279 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/8:1H-kblockd
    280 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:1H-kblockd
    312 root      20   0   48396  19220  18176 S   0.0   0.1   0:00.28 systemd-journal
    323 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/6:1H-kblockd
    326 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1H-kblockd
    328 root      20   0   33324  10896   7368 S   0.0   0.1   0:00.27 systemd-udevd
    389 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    393 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/3:2-events
    400 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:1H-kblockd
    401 root     -51   0       0      0      0 S   0.0   0.0   0:07.04 irq/142-SYNA7DB5:01
    402 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/5:2-mm_percpu_wq
    411 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    412 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/10:2-events
    413 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    414 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    415 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    417 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    420 root     -51   0       0      0      0 S   0.0   0.0   0:00.13 irq/146-iwlwifi:default_queue
    423 root     -51   0       0      0      0 S   0.0   0.0   0:00.03 irq/147-iwlwifi:queue_1
    424 root     -51   0       0      0      0 S   0.0   0.0   0:00.07 irq/148-iwlwifi:queue_2
    425 root     -51   0       0      0      0 S   0.0   0.0   0:00.01 irq/149-iwlwifi:queue_3
    426 root     -51   0       0      0      0 S   0.0   0.0   0:00.02 irq/150-iwlwifi:queue_4
    427 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/151-iwlwifi:exception
    433 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvkm-disp
    452 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/u25:1-rb_allocator
    472 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc0
    473 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc1
    474 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc2
    475 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card1-crtc3
    480 dbus      20   0    9296   5364   4180 S   0.0   0.0   0:00.40 dbus-daemon
    481 root      20   0   48716   7788   6852 S   0.0   0.0   0:00.11 systemd-logind
    482 root      20   0  402744  20296  16616 S   0.0   0.1   0:00.82 NetworkManager
    483 root      20   0   15332   9972   8792 S   0.0   0.1   0:00.15 wpa_supplicant
    486 root      20   0    8852   5296   4652 S   0.0   0.0   0:00.01 sshd
    490 root      20   0    8156   4980   4252 S   0.0   0.0   0:00.04 login
    498 root      20   0   11584   5604   4976 S   0.0   0.0   0:00.09 bluetoothd
    503 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/6:2-mm_percpu_wq
    577 robdres   20   0   17800  10480   8572 S   0.0   0.1   0:00.11 systemd
    578 robdres   20   0   22292   3048      4 S   0.0   0.0   0:00.00 (sd-pam)
    585 robdres   20   0    7864   7076   3300 S   0.0   0.0   0:00.09 bash
    635 robdres   20   0    4564   3544   3028 S   0.0   0.0   0:00.01 startx
    653 robdres   20   0    4160   2540   2296 S   0.0   0.0   0:00.00 xinit
    654 robdres   20   0 1941924  91328  54520 S   0.0   0.6   0:57.60 Xorg
    679 robdres   20   0  529068  79412  18652 S   0.0   0.5   0:13.91 awesome
    682 robdres   20   0    8780   4940   4224 S   0.0   0.0   0:00.11 dbus-daemon
    689 robdres   20   0  237352   8412   7256 S   0.0   0.1   0:00.04 gvfsd
    694 robdres   20   0  379120   6048   5400 S   0.0   0.0   0:00.00 gvfsd-fuse
    703 robdres   20   0    4564   3572   3116 S   0.0   0.0   0:00.00 bash
    710 robdres   20   0    5368   1748   1560 S   0.0   0.0   0:01.27 unclutter
    717 robdres    9 -11  767948  34148  24768 S   0.0   0.2   0:01.34 pulseaudio
    718 rtkit     21   1  154028   1584   1324 S   0.0   0.0   0:00.02 rtkit-daemon
    721 polkitd   20   0 2846444  21300  16436 S   0.0   0.1   0:00.07 polkitd
    737 robdres   20   0 1012080  53640  42020 S   0.0   0.3   0:15.08 picom
    771 robdres   20   0  236756   7404   6456 S   0.0   0.0   0:00.00 gsettings-helpe
    777 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
    782 robdres   20   0 8385680 425804 187776 S   0.0   2.6   1:17.33 qutebrowser
    816 robdres   20   0  480020  60664  49800 S   0.0   0.4   0:00.06 QtWebEngineProc
    817 robdres   20   0  480020  60860  49992 S   0.0   0.4   0:00.06 QtWebEngineProc
    819 robdres   20   0  480020  14352   3464 S   0.0   0.1   0:00.04 QtWebEngineProc
    841 robdres   20   0   10.3g 222664  91268 S   0.0   1.4   0:17.74 QtWebEngineProc
    850 robdres   20   0   10.1g 115356  77912 S   0.0   0.7   0:00.98 QtWebEngineProc
    871 robdres   20   0 6225452 122468  78048 S   0.0   0.8   0:01.98 QtWebEngineProc
    885 robdres   20   0 6243440 126052  73492 S   0.0   0.8   0:07.14 QtWebEngineProc
    902 robdres   20   0 5584052  78148  61188 S   0.0   0.5   0:00.10 QtWebEngineProc
    930 robdres   20   0 6216468 101164  71388 S   0.0   0.6   0:01.04 QtWebEngineProc
    944 robdres   20   0   10.4g 292584  99112 S   0.0   1.8   2:29.31 QtWebEngineProc
    972 robdres   20   0 5584968  82760  64100 S   0.0   0.5   0:00.14 QtWebEngineProc
   1021 robdres   20   0 6218380 118224  72828 S   0.0   0.7   0:03.56 QtWebEngineProc
